"character","breed","city_size","gender","surgery","age","weight","color","y","positive","negative","disease","behavior"
"온순함, 사람을 잘따름,,","Mix","소도시","수컷","아니오",4,6,"흰",0,1,0,0,1
"파란목테, 안으려하면 까칠함.,,","Herding","중소도시","수컷","아니오",3,15,"흰갈",1,0,-1,0,-1
"소심하나, 온순한편,,","Mix","중소도시","수컷","아니오",1,14,"검",1,1,-1,0,0
"온순하면서 경계,,","Mix","소도시","암컷","아니오",1,9,"갈",0,1,-1,0,0
"순함,,","Miscellaneous","대도시","수컷","아니오",2,14,"흰",0,1,0,0,1
"순하고사람잘따름,미용상태,회색옷입음,,","Toy","대도시","암컷","아니오",5,2.3,"흰갈",1,1,0,0,1
"겁이많다 온순하고 관리상태는 양호 ,,","Mix","소도시","수컷","아니오",6,6,"흰검",0,1,-1,0,0
"성격이 활발하며 사람을 잘 따름. 새끼를 데리고 다님,,","Mix","소도시","암컷","아니오",5,5,"흰",0,1,0,0,1
"눈곱약간.코갈색.앉아할줄앎.살짝여윔.사람좋아함.활발함.,,","Sporting","중소도시","수컷","아니오",3,28,"갈",1,1,-1,0,0
"순함,,","Mix","대도시","암컷","아니오",2,8.98,"갈",0,1,0,0,1
"순함,,","Miscellaneous","중소도시","수컷","아니오",2,15.6,"흰",0,1,0,0,1
"순함,,","Miscellaneous","중소도시","수컷","아니오",3,17.3,"흰",0,1,0,0,1
"경계심많음/진도믹스,,","Miscellaneous","중소도시","수컷","아니오",5,18.7,"흰",0,0,-1,0,-1
"이가빠지기직전고,잇몸질환이심하고,보행도못할정도 힘이없음.,,","Terrier","중소도시","수컷","아니오",17,3.7,"갈검",0,0,-1,1,-1
"예민함,,","Mix","중소도시","수컷","아니오",4,7.8,"갈",0,0,-1,0,-1
"고령.눈곱약간. 전신미용흔적.치석심함.사람좋아함.활발함.짖음.기침.양눈백내장.오른쪽슬개골.,,","Toy","대도시","수컷","아니오",10,2.5,"흰",0,1,-1,1,0
"고령.눈곱약간.기침.발톱긺.혀왼쪽으로나옴.잘안서있고계속엎드리려함.사람따름.얌전함.,,","Toy","중소도시","수컷","예",10,3.2,"흰갈",0,1,-1,1,0
"눈물자국.눈곱.사람따름.얌전함.,,","Toy","중소도시","수컷","예",8,3.9,"흰갈",1,1,-1,0,0
"파란목테착용 겁이많음,,","Mix","중소도시","수컷","아니오",4,6.2,"갈",0,0,-1,0,-1
"백내장, 노령견,,","Sporting","중소도시","수컷","예",10,19,"흰갈",0,0,-1,1,-1
"경계 심함,,","Mix","소도시","암컷","아니오",2,4,"흰",0,0,-1,0,-1
"경계 심함,,","Mix","소도시","수컷","아니오",1,2,"갈",0,0,-1,0,-1
"순함,,","Mix","소도시","암컷","아니오",1,2,"흰갈",0,1,0,0,1
"순함,,","Mix","소도시","암컷","아니오",1,1.5,"흰",0,1,0,0,1
"순함,,","Mix","소도시","수컷","아니오",1,1.5,"흰갈",0,1,0,0,1
"순함,,","Mix","소도시","수컷","아니오",1,1.5,"흰검",0,1,0,0,1
"1개월 추정, 커다랗고 푹처진귀, 인형같은 외모, 4발끝만 흰색, 너무 착하고 귀여여운 아이,,","Mix","거대도시","수컷","아니오",1,2.3,"흰갈",1,1,0,0,1
"칩x, 처진귀, 검은코, 겁을 많이먹고 눈치를 많이 보는 가여운 아이,,","Mix","거대도시","수컷","아니오",2,6.8,"흰검",0,0,-1,0,-1
"1개월추정, 검은코, 처진귀, 진한아이라인, 흰양말을 신고있는 예쁜발, 조용하고 착한아이,,","Mix","거대도시","수컷","아니오",1,2.3,"흰갈검",0,1,0,0,1
"1개월추정, 아이들만 입소, 처진귀, 처진눈, 소심하지만 사람을 좋아하는 착한 아이들,,","Mix","거대도시","암컷","아니오",1,2.3,"흰",0,1,-1,0,0
"1개월추정, 얼룩코, 처진귀, 겁을먹고 형제끼리 꼭 붙어있음,,","Mix","거대도시","암컷","아니오",1,2.2,"흰",0,0,-1,0,-1
"5개월추정, 다리골절의심됨, 다리에 상처있음, 겁을먹고 구석으로 숨는 가여운아이,,","Mix","거대도시","수컷","아니오",1,4.5,"갈",0,0,-1,1,-1
"성격이 좋고 순해요,,","Mix","중소도시","수컷","아니오",4,8,"갈검",1,1,0,0,1
"수로에 빠져있는 강아지 6두 함께 구출(포획), 건강상태 양호,,","Mix","소도시","수컷","아니오",1,5,"흰",0,1,0,0,1
"수로에 빠져있는 강아지 6두 함께 구출(포획), 건강상태 양호,,","Mix","소도시","수컷","아니오",1,5,"흰",0,1,0,0,1
"수로에 빠져있는 강아지 6두 함께 구출(포획), 건강상태 양호,,","Mix","소도시","암컷","아니오",1,5,"흰",0,1,0,0,1
"수로에 빠져있는 강아지 6두 함께 구출(포획), 건강상태 양호,,","Mix","소도시","암컷","아니오",1,5,"흰",0,1,0,0,1
"수로에 빠져있는 강아지 6두 함께 구출(포획), 건강상태 양호,,","Mix","소도시","암컷","아니오",1,5,"흰",0,1,0,0,1
"수로에 빠져있는 강아지 6두 함께 구출(포획), 건강상태 양호,,","Mix","소도시","암컷","아니오",1,5,"흰",0,1,0,0,1
"순하다,,","Mix","소도시","수컷","아니오",3,10,"흰갈",1,1,0,0,1
"순하다,,","Sporting","소도시","수컷","아니오",3,25,"갈",1,1,0,0,1
"길마트 주변 도로에 묶인상태로 발견, 매우 순하며 사람 잘 따름,,","Miscellaneous","소도시","수컷","아니오",1,15,"흰",0,1,0,0,1
"삽살개 혼혈, 집 나온지 오래됨, 마름,심장사상충 감염,피부질환,치주질환,,","Mix","중소도시","암컷","아니오",8,30,"갈검",0,0,-1,1,-1
"삽살개 혼혈, 집 나온지 오래됨, 마름,심장사상충 감염,피부질환,치주질환,유선종양,,","Mix","중소도시","암컷","아니오",9,25,"갈검",0,0,-1,1,-1
"산아래에서 떨고있었다고 해요! 각질이 많은 아이! 원데이 퍼펙트 스킨케어20회 예약,,","Mix","대도시","수컷","아니오",1,3,"갈검",0,0,-1,0,-1
"피부병이 심하게 났어요 그래도 본판불변의법칙! 이쁘게생겼어요! 빨리 치료받고 용..아니 개되자!,,","Mix","대도시","암컷","아니오",2,4,"갈",0,1,-1,1,0
"상태양호,,","Mix","소도시","수컷","아니오",3,4,"흰갈검",0,1,0,0,1
"상태양호,,","Mix","소도시","수컷","아니오",3,4,"흰갈검",0,1,0,0,1
"살짝 겁이 있음, 뼈가드러나도록 마름,,","Hound","중소도시","암컷","아니오",3,3.4,"갈검",1,0,-1,0,-1
"순함, 푸른색 목줄,,","Miscellaneous","대도시","수컷","아니오",4,15.76,"흰",0,1,0,0,1
"순함,,","Sporting","대도시","암컷","아니오",3,18.86,"갈",1,1,0,0,1
"순함, 포인터 잡종,,","Mix","대도시","수컷","아니오",1,3.75,"갈",1,1,0,0,1
"순하고 사람을 잘따름, 빨간 가죽목줄 착용,,","Hound","중소도시","수컷","아니오",4,15.3,"흰갈검",1,1,0,0,1
"애기 순함,,","Mix","중소도시","암컷","아니오",1,10,"흰",0,1,0,0,1
"쇠줄,빨간목줄,겁많음,입질있음,목줄못함,,","Mix","대도시","수컷","아니오",4,25,"흰",0,0,-1,1,-1
"겁이많음,,","Mix","중소도시","암컷","아니오",3,10.3,"갈",0,0,-1,0,-1
"강아지, 수유필요함,,","Mix","중소도시","수컷","아니오",1,0.3,"흰",0,0,-1,0,-1
"강아지, 수유필요함,,","Mix","중소도시","암컷","아니오",1,0.3,"갈",0,0,-1,0,-1
"강아지, 수유필요함,,","Mix","중소도시","암컷","아니오",1,0.3,"갈",0,0,-1,0,-1
"강아지, 수유필요함,,","Mix","중소도시","수컷","아니오",1,0.3,"검",0,0,-1,0,-1
"중성화, 빨간목줄착용,,","Non-Sporting","중소도시","수컷","예",3,9,"흰검",1,1,0,0,1
"순함,,","Mix","중소도시","수컷","아니오",3,4.3,"갈",1,1,0,0,1
"순함,,","Herding","중소도시","수컷","아니오",2,10,"갈",1,1,0,0,1
"순함,,","Mix","중소도시","암컷","아니오",5,10,"흰",1,1,0,0,1
"순함 중성화,,","Non-Sporting","중소도시","암컷","예",5,12,"흰검",1,1,0,0,1
"순함,,","Mix","중소도시","암컷","아니오",1,4.2,"흰",1,1,0,0,1
"마름, 줄무니옷,,,","Mix","대도시","수컷","아니오",4,20,"흰검",0,0,-1,0,-1
"입소 후 중성화 수술 완료,,","Mix","거대도시","암컷","예",1,1.5,"갈",0,1,-1,1,0
"입소 후 중성화 수술 완료,,","Mix","거대도시","암컷","아니오",1,1.5,"갈",0,1,-1,1,0
"입소 후 중성화 수술 완료,,","Mix","거대도시","암컷","예",1,1.5,"갈",0,1,-1,1,0
"중성화 완료,,","Mix","거대도시","수컷","예",3,10.2,"흰",0,1,0,0,1
"너무 많이 마름 / 구토를 심하게 한다고 구조자로부터 전해들음,,","Non-Sporting","거대도시","수컷","아니오",6,4.9,"흰검",1,0,-1,1,-1
"순함,,","Non-Sporting","중소도시","암컷","아니오",4,3.4,"검",1,1,0,0,1
"생후3개월정도, 약간설사증상,,","Mix","중소도시","수컷","아니오",1,2.2,"기타",0,0,-1,1,-1
"개나리색옷. 좌안 손상 의심. 구내염,,","Toy","중소도시","수컷","예",11,3.8,"흰갈",1,0,-1,1,-1
"좌측안구 혈관파열,,","Toy","중소도시","수컷","예",3,3.48,"흰갈",1,0,-1,1,-1
"노령견, 배에 큰 종양 있음,,","Non-Sporting","중소도시","암컷","아니오",11,15,"검",0,0,-1,1,-1
"영양상태 불량,,","Non-Sporting","중소도시","암컷","아니오",8,8,"흰검",1,0,-1,1,-1
"수영1-161, 기력저하,,","Mix","중소도시","수컷","아니오",3,3.8,"갈검",0,0,-1,1,-1
"겁이많음,,","Mix","중소도시","암컷","아니오",2,4,"흰갈",0,0,-1,0,-1
"온순하면서 잘따름,,","Mix","소도시","수컷","아니오",1,7,"흰",1,1,0,0,1
"눈곱.코주황.네다리/배/목오물오염.경계/으르렁댐/공격적/칩유무및정확한나이추정불가.,,","Non-Sporting","중소도시","수컷","아니오",3,25,"갈",0,0,-1,0,-1
"양귀접힘. 코검정. 가슴흰털. 겁있음. 꼬리단미안됨. 털상태양호. ,,","Mix","중소도시","수컷","아니오",1,3.8,"흰갈검",0,1,-1,0,0
"양귀접힘. 코검정. 가슴/꼬리끝/오른쪽앞발제외 발끝흰털. 겁많음. 꼬리단미안됨. 털상태양호. ,,","Mix","중소도시","수컷","아니오",1,3.5,"흰갈검",0,1,-1,0,0
"양귀접힘. 코검정. 겁많음. 꼬리단미안됨. 털상태양호. ,,","Mix","중소도시","수컷","아니오",1,3.3,"갈검",0,1,-1,0,0
"온순, 신고자 입양희망,,","Working","중소도시","암컷","아니오",1,1,"검",1,1,0,0,1
"많이말라있고 설사가심함,,","Mix","중소도시","암컷","아니오",1,5,"갈",0,0,-1,1,-1
"목에 쇠줄과 목걸이 있음,경계심 많음,심장사상충감염,,","Mix","중소도시","수컷","아니오",11,5,"흰갈",0,0,-1,1,-1
"온순하며 사람을 잘따름,,","Mix","중소도시","수컷","아니오",4,10,"흰갈",0,1,0,0,1
"양귀쫑긋. 코검정. 배얼룩무늬. 왼뒷발살짝탈모. 겁있음/소심함/사람따름. 꼬리단미안됨. 털때탐.,,","Mix","소도시","수컷","아니오",3,7.4,"흰갈",0,1,-1,1,0
"양귀쫑긋/귀뒤로잘넘김. 눈물자국약간. 코갈색. 사람좋아함/활발함. 꼬리단미안됨. 털때탐.,공고후 안락사.,","Mix","중소도시","수컷","아니오",3,20,"흰갈",0,1,-1,0,0
"털이 엉키고 많이 마름,,","Terrier","거대도시","수컷","예",6,13,"흰",0,0,-1,0,-1
"견주사망/마름,,","Miscellaneous","중소도시","수컷","아니오",7,14,"흰갈",0,0,-1,0,-1
"3개월령 추정, 순함.,,","Mix","중소도시","암컷","아니오",1,1.2,"흰",1,1,0,0,1
"금정 1-236, 겁이 많음,,","Mix","중소도시","수컷","아니오",1,2.5,"갈검",0,0,-1,0,-1
"금정 1-235, 겁이 많음,,","Mix","중소도시","암컷","아니오",1,2.8,"흰갈검",1,0,-1,0,-1
"금정 1-234, 겁이많음,,","Mix","중소도시","암컷","아니오",1,2.6,"흰갈검",1,0,-1,0,-1
"금정 1-233, 겁이많음,,","Mix","중소도시","암컷","아니오",1,2.5,"갈검",0,0,-1,0,-1
"금정 1-232, 겁이많음,,","Mix","중소도시","수컷","아니오",1,2.4,"갈",0,0,-1,0,-1
"금정 1-231, 마름, 기력저하,,","Mix","중소도시","수컷","아니오",5,4.7,"흰갈",0,0,-1,1,-1
"코갈색.분홍볼터치.전신미용흔적/얼굴/양귀/꼬리/다리털더긺.사람좋아함/얌전함. ,,","Non-Sporting","대도시","수컷","예",3,18,"흰",1,1,0,0,1
"양귀쫑긋.양뒷발며느리발톱.겁있음/소심함/사람따름.,,","Mix","중소도시","수컷","아니오",2,8,"흰갈검",0,1,-1,0,0
"눈곱.콧물.양뒷발며느리발톱.사람좋아함.낑낑댐.몸전체미용.꼬리털긺.부정교합.외이염.피부질환.,,","Toy","중소도시","수컷","아니오",9,6.5,"흰갈검",0,1,-1,1,0
"양귀처짐.눈곱.오른뒷다리안쪽여드름.낑낑댐.사람좋아함.,,","Mix","대도시","수컷","아니오",1,1.8,"흰검",1,1,-1,0,0
"양귀접힘. 코검정. 뒷발가락/꼬리끝흰털. 겁있음. 꼬리단미안됨. 털상태양호. ,,","Mix","중소도시","수컷","아니오",1,3.4,"흰갈검",0,1,-1,0,0
"양귀접힘. 코검정+흰무늬. 꼬리/입주변검은털. 발끝/꼬리끝흰털. 겁있음/얌전. 꼬리단미안됨. 털상태양호. ,,","Mix","중소도시","수컷","아니오",1,3.7,"흰갈검",0,1,-1,0,0
"양귀접힘. 코검정. 겁있음/얌전함. 만지면 깨갱대지만 공격성없음. 꼬리단미안됨. 털상태양호. 피부질환.,,","Mix","중소도시","수컷","아니오",1,3.6,"갈검",0,1,-1,1,0
"눈물자국.사람따름.낑낑댐.,,","Toy","중소도시","수컷","아니오",1,0.9,"흰",1,1,-1,0,0
"양귀끝 접힘. 코검정. 사람좋아함. 꼬리단미안됨. 털상태 양호.,,","Mix","중소도시","수컷","아니오",1,5.6,"갈검",1,1,0,0,1
"온순함,,","Mix","소도시","수컷","아니오",1,5,"검",0,1,0,0,1
"1개월추정, 까맣고 동그란눈, 조그마한귀, 턱수염흰색 소심하고 귀여운 아이,,","Mix","거대도시","수컷","아니오",1,1.9,"흰검",1,1,-1,0,0
