"﻿Breed","Citysize","Gender","Neutralization","Age","Weight","Color","Adoption","Disease","Behavior","B_D"
"Mix","Small City","Male","No",1,2,"Black","No","No","Positive","PosNo"
"Sporting","Medium City","Male","No",8,25.5,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",1,2,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",5,15.2,"White","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","No",2,10,"White&Black","Yes","Yes","Negative","NegYes"
"Mix","Small City","Male","No",3,3,"White","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,1.5,"White&Black","Yes","No","Positive","PosNo"
"Mix","Metropolis","Female","No",2,5.2,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,0.9,"White&Black","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,2.3,"White&Brown","No","No","Positive","PosNo"
"Mix","Metropolis","Male","No",1,1.5,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",3,15,"White","Yes","No","Negative","NegNo"
"Mix","Small City","Male","No",2,5,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,3,"White","Yes","No","Negative","NegNo"
"Miscellaneous","Medium City","Male","No",4,9,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",5,5,"White","No","Yes","Neutral","NeuYes"
"Mix","Small City","Male","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",3,5,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.4,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,5.5,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",4,8,"White&Brown","No","Yes","Neutral","NeuYes"
"Mix","Small City","Male","No",2,4.5,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,11,"White&Black","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,10,"Black","No","No","Positive","PosNo"
"Mix","Small City","Female","No",3,20,"White","Yes","No","Negative","NegNo"
"Mix","Big City","Male","Yes",1,7,"White&Brown","Yes","No","Negative","NegNo"
"Non-Sporting","Medium City","Female","No",8,8,"White&Black","Yes","Yes","Negative","NegYes"
"Mix","Big City","Female","No",4,20,"Black&Brown","No","No","Negative","NegNo"
"Working","Big City","Female","No",6,8,"White&Black","Yes","No","Neutral","NeuNo"
"Miscellaneous","Medium City","Female","No",3,19,"White","No","No","Positive","PosNo"
"Working","Metropolis","Male","No",3,17,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",2,1,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.9,"White&Black","Yes","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,7,"White","No","Yes","Neutral","NeuYes"
"Mix","Metropolis","Female","No",1,1.8,"White","Yes","No","Positive","PosNo"
"Mix","Metropolis","Female","No",5,15,"White","No","Yes","Negative","NegYes"
"Non-Sporting","Big City","Male","No",4,13,"Black","Yes","No","Positive","PosNo"
"Sporting","Small City","Female","No",1,22,"White","No","No","Positive","PosNo"
"Miscellaneous","Big City","Female","No",1,8.7,"White","No","No","Positive","PosNo"
"Mix","Big City","Male","No",7,6,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,5.8,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",2,7,"Etc","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","Yes",5,3.4,"Brown","Yes","Yes","Neutral","NeuYes"
"Mix","Medium City","Female","No",1,4,"White","Yes","No","Negative","NegNo"
"Mix","Small City","Male","No",1,0.1,"White&Brown","Yes","No","Negative","NegNo"
"Miscellaneous","Big City","Male","No",5,16,"White","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,12.1,"White","No","No","Negative","NegNo"
"Miscellaneous","Small City","Male","No",1,22,"White","Yes","No","Positive","PosNo"
"Toy","Medium City","Female","No",8,3,"White","Yes","Yes","Negative","NegYes"
"Toy","Small City","Male","No",4,3.5,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",1,3,"Black&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,16.2,"White&Black","No","Yes","Neutral","NeuYes"
"Toy","Medium City","Male","No",7,4.1,"White","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",5,20,"Black&Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","No",2,3,"Black","Yes","No","Positive","PosNo"
"Sporting","Medium City","Male","No",1,7,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",1,2,"Brown","No","No","Negative","NegNo"
"Miscellaneous","Medium City","Female","No",1,10,"Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",4,22,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,3,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,8,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,7.6,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,25,"White&Black","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,17,"Black&White&Brown","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Male","No",2,12,"White&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Female","No",9,3,"Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,1,"White&Black","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",2,5.8,"White","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,12.7,"White","No","No","Negative","NegNo"
